"","Species","Site","detection","num.samples","Sppcode","Diet","sitecov1"
"418","Eremopterix griseus","BDC6",0,10,17,0,0
"419","Eremopterix griseus","BDC8",0,10,17,0,1
"420","Eremopterix griseus","BN1",2,10,17,0,1
"421","Eremopterix griseus","BN2",1,10,17,0,0
"422","Eremopterix griseus","BNC1",0,10,17,0,1
"423","Eremopterix griseus","BNC2",0,10,17,0,0
"424","Eremopterix griseus","BNC3",0,10,17,0,1
"425","Eremopterix griseus","CHC1",0,10,17,0,0
"426","Eremopterix griseus","CHC2",0,10,17,0,0
"427","Eremopterix griseus","CHC3",0,10,17,0,1
"428","Eremopterix griseus","CHC4",0,10,17,0,1
"429","Eremopterix griseus","CHC5",0,10,17,0,0
"430","Eremopterix griseus","CHC7",0,10,17,0,0
"431","Eremopterix griseus","CHS1",3,10,17,0,1
"432","Eremopterix griseus","CHS2",1,10,17,0,0
"433","Eremopterix griseus","CHS4",1,10,17,0,1
"434","Eremopterix griseus","CHS6",4,10,17,0,0
"435","Eremopterix griseus","MDC1",0,10,17,0,1
"436","Eremopterix griseus","MDS2",0,10,17,0,1
"437","Eremopterix griseus","MDS3",0,10,17,0,0
"438","Eremopterix griseus","MDS4",0,10,17,0,0
"439","Eremopterix griseus","TTC1",0,10,17,0,1
"440","Eremopterix griseus","TTC2",0,10,17,0,0
"441","Eremopterix griseus","TTS1",0,10,17,0,1
"442","Eremopterix griseus","TTS2",1,10,17,0,0
"443","Eudynamys scolopaceus","ADS1",2,10,37,0,1
"444","Eudynamys scolopaceus","ADS3",0,10,37,0,0
"445","Eudynamys scolopaceus","BD1",0,10,37,0,1
"446","Eudynamys scolopaceus","BD2",4,10,37,0,0
"447","Eudynamys scolopaceus","BD6",5,10,37,0,0
"448","Eudynamys scolopaceus","BDC1",0,10,37,0,1
"449","Eudynamys scolopaceus","BDC2",0,10,37,0,0
"450","Eudynamys scolopaceus","BDC3",3,10,37,0,0
"451","Eudynamys scolopaceus","BDC4",7,10,37,0,0
"452","Eudynamys scolopaceus","BDC6",3,10,37,0,0
"453","Eudynamys scolopaceus","BDC8",1,10,37,0,1
"454","Eudynamys scolopaceus","BN1",6,10,37,0,1
"455","Eudynamys scolopaceus","BN2",0,10,37,0,0
"456","Eudynamys scolopaceus","BNC1",0,10,37,0,1
"457","Eudynamys scolopaceus","BNC2",0,10,37,0,0
"458","Eudynamys scolopaceus","BNC3",0,10,37,0,1
"459","Eudynamys scolopaceus","CHC1",4,10,37,0,0
"460","Eudynamys scolopaceus","CHC2",0,10,37,0,0
"461","Eudynamys scolopaceus","CHC3",2,10,37,0,1
"462","Eudynamys scolopaceus","CHC4",0,10,37,0,1
"463","Eudynamys scolopaceus","CHC5",0,10,37,0,0
"464","Eudynamys scolopaceus","CHC7",0,10,37,0,0
"465","Eudynamys scolopaceus","CHS1",3,10,37,0,1
"466","Eudynamys scolopaceus","CHS2",1,10,37,0,0
"467","Eudynamys scolopaceus","CHS4",5,10,37,0,1
"468","Eudynamys scolopaceus","CHS6",0,10,37,0,0
"469","Eudynamys scolopaceus","MDC1",0,10,37,0,1
"470","Eudynamys scolopaceus","MDS2",0,10,37,0,1
"471","Eudynamys scolopaceus","MDS3",0,10,37,0,0
"472","Eudynamys scolopaceus","MDS4",0,10,37,0,0
"473","Eudynamys scolopaceus","TTC1",6,10,37,0,1
"474","Eudynamys scolopaceus","TTC2",1,10,37,0,0
"475","Eudynamys scolopaceus","TTS1",7,10,37,0,1
"476","Eudynamys scolopaceus","TTS2",3,10,37,0,0
"477","Francolinus pictus","ADS1",0,10,25,1,1
"478","Francolinus pictus","ADS3",0,10,25,1,0
"479","Francolinus pictus","BD1",0,10,25,1,1
"480","Francolinus pictus","BD2",0,10,25,1,0
"481","Francolinus pictus","BD6",5,10,25,1,0
